Category,Item,Annual_Import_Million_USD,Annual_Import_Quantity_MT,Primary_Importers,Current_Local_Production,Local_Production_Potential,Climate_Suitability,Land_Availability,Water_Requirement,Investment_Needed_Million_USD,Time_to_Scale_Years,Potential_Local_Production_Percentage,Import_Reduction_Potential_Million_USD,Challenges,Recommendations
Textile Fibers,Raw Cotton,1200,800000,"India, USA, Uzbekistan, Australia","Minimal (~5,000 MT)",Medium,Good - Suitable climate,Limited - Competing with food crops,High,300,3-5,30,360.0,"Competes with food crops, water intensive","Develop high-yield varieties, drip irrigation, marginal lands"
Textile Fibers,"Synthetic Fibers (Polyester, Nylon)",800,400000,"China, India, South Korea, Thailand",None,High,N/A - Industrial,Industrial zones,Medium,500,2-3,60,480.0,Requires petrochemical industry,"Establish polyester manufacturing, attract FDI"
Textile Fibers,Jute Products (Processed),50,30000,"India, China",Excellent - Major producer,Very High,Excellent,Good,High,20,1,95,47.5,Processing technology,"Upgrade processing, value addition"
Wood Products,Timber and Logs,400,500000,"India, Myanmar, Malaysia, Indonesia",Limited,Medium,Good,Limited - Deforestation concern,Medium,200,10-15,40,160.0,"Long growth cycle, land scarcity","Social forestry, fast-growing species, bamboo"
Wood Products,Bamboo,80,200000,"India, Myanmar",Good,Very High,Excellent,Good - Marginal lands,Medium,30,2-3,80,64.0,Processing infrastructure,"Bamboo plantations, processing units"
Rubber,Natural Rubber,200,80000,"Thailand, Vietnam, Indonesia, Malaysia",Minimal,Medium,Moderate - Southern regions,Limited,High,150,7-10,25,50.0,"Long maturity period, climate",Pilot projects in Chittagong Hill Tracts
Leather,Raw Hides and Skins,150,50000,"India, Pakistan, Australia",Good,High,Good,N/A - Livestock byproduct,N/A,50,2,70,105.0,"Collection system, quality","Improve livestock sector, collection network"
Oils & Fats,Palm Oil,300,200000,"Malaysia, Indonesia",None,Low,Poor - Not suitable,N/A,High,0,N/A,0,0.0,Climate not suitable,"Focus on alternative oils (mustard, soybean)"
Oils & Fats,Soybean Oil,250,150000,"Argentina, Brazil, USA",Limited,High,Good,Good,Medium,100,2-3,60,150.0,Yield improvement needed,"High-yield varieties, processing facilities"
Oils & Fats,Mustard/Rapeseed Oil,100,80000,"India, Canada",Good,Very High,Excellent,Good,Low-Medium,50,1-2,90,90.0,Yield improvement,"Expand cultivation, modern processing"
Animal Feed,Soybean Meal,200,300000,"Argentina, Brazil, India",Limited,High,Good,Good,Medium,80,2-3,50,100.0,Processing capacity,"Soybean cultivation, crushing plants"
Animal Feed,Corn/Maize,150,400000,"India, Myanmar, Argentina",Good,Very High,Excellent,Good,Medium,60,1-2,80,120.0,"Storage, post-harvest loss","Expand cultivation, storage facilities"
Spices,Dried Chili,80,40000,"India, Myanmar, China",Good,Very High,Excellent,Good,Medium,30,1,85,68.0,Post-harvest processing,"Drying facilities, quality control"
Spices,Turmeric,50,25000,India,Good,Very High,Excellent,Good,Medium,20,1,90,45.0,Quality standardization,"Quality improvement, processing"
Spices,Garlic,70,100000,"China, India",Limited,High,Good,Good,Medium,40,1-2,70,49.0,"Storage, seed quality","Cold storage, quality seeds"
Other,Seeds (Various),120,50000,"India, Thailand, China, USA",Limited,High,Good,Good,Varies,80,2-3,60,72.0,"R&D, quality control","Seed production facilities, R&D investment"
