Category,Product,Description,Current_Production_Million_USD,Current_Export_Million_USD,Global_Market_Size_Billion_USD,Bangladesh_Market_Share_Percent,Export_Potential_Million_USD,Workers_Needed,Skill_Level,Production_Location,Target_Markets,Investment_Needed_Million_USD,Time_to_Scale,Unique_Selling_Point
Textiles & Fashion,Jamdani Sarees,UNESCO heritage handwoven muslin sarees,50,15,2.5,0.6,500,50000,High,"Home-based, clusters","India, USA, UK, Middle East, diaspora",30,2-3 years,"UNESCO heritage, handcrafted, unique designs"
Textiles & Fashion,Nakshi Kantha (Embroidered Quilts),Traditional embroidered quilts and textiles,30,8,5.0,0.16,300,100000,Medium,"Home-based, rural women","USA, Europe, Japan, Australia",20,2-3 years,"Handmade, sustainable, storytelling through stitches"
Textiles & Fashion,Contemporary Fashion Design,Modern fashion with traditional elements,100,20,50.0,0.04,1000,50000,High,"Urban studios, factories",Global fashion markets,100,3-5 years,"Fusion of traditional and modern, ethical fashion"
Handicrafts,Jute Products,"Bags, home decor, fashion accessories from jute",80,40,3.0,1.33,500,200000,Low-Medium,"Rural clusters, cooperatives","Europe, USA, Japan (eco-conscious)",50,2-3 years,"Eco-friendly, biodegradable, golden fiber"
Handicrafts,Bamboo & Cane Crafts,"Furniture, baskets, home decor from bamboo",40,10,8.0,0.125,400,150000,Medium,"Rural areas, tribal communities","Europe, USA, Japan, Australia",40,2-3 years,"Sustainable, natural, artisanal"
Handicrafts,Leather Goods,"Bags, shoes, accessories from leather",60,25,15.0,0.17,400,80000,Medium-High,"Dhaka, Chittagong clusters","Europe, USA, Middle East",50,2-3 years,"Quality craftsmanship, competitive pricing"
Performing Arts,Music & Film Production,"Bengali music, films, web series",150,20,100.0,0.02,500,100000,High,"Dhaka studios, digital platforms","Bengali diaspora, South Asia, OTT platforms",200,3-5 years,"300M Bengali speakers globally, rich storytelling"
Digital Creative,Graphic Design & Animation,"Digital design, 2D/3D animation services",100,80,45.0,0.18,1000,200000,Medium-High,"Home-based, studios, remote","Global (USA, Europe, Asia)",80,2-3 years,"Cost-effective, skilled workforce, English proficiency"
Digital Creative,Content Writing & Translation,"Content creation, Bengali-English translation",50,40,20.0,0.2,300,150000,Medium,"Home-based, remote",Global content markets,30,1-2 years,"Bilingual, cultural understanding, cost-effective"
Digital Creative,Game Development,"Mobile games, casual games",20,15,200.0,0.0075,500,50000,High,"Studios, remote teams",Global mobile gaming market,100,3-5 years,"Young talent, cost-effective, growing ecosystem"
Food & Culinary,Packaged Bengali Food,"Ready-to-eat Bengali cuisine, snacks",80,30,30.0,0.1,500,100000,Low-Medium,Food processing units,"Bengali diaspora, South Asian markets",80,2-3 years,"Authentic taste, diaspora demand, halal"
Tourism,Cultural Tourism Services,"Heritage tours, cultural experiences",50,40,200.0,0.02,500,100000,Medium,"Heritage sites, cultural centers","Global tourists, cultural enthusiasts",150,3-5 years,"UNESCO sites, Sundarbans, rich culture"
