Year,Agricultural raw materials imports (% of merchandise imports),External balance on goods and services (current US$),Food imports (% of merchandise imports),Fuel imports (% of merchandise imports),Imports of goods and services (constant 2015 US$),Imports of goods and services (current US$),Machinery and transport equipment imports (% of merchandise imports),Manufactures imports (% of merchandise imports),Merchandise imports from developing economies in East Asia & Pacific (% of total),Merchandise imports from developing economies in Europe & Central Asia (% of total),Merchandise imports from developing economies in Latin America & the Caribbean (% of total),Merchandise imports from developing economies in Middle East & North Africa (% of total),Merchandise imports from developing economies in South Asia (% of total),Merchandise imports from developing economies in Sub-Saharan Africa (% of total),Merchandise imports from economies in the Arab World (% of total),Merchandise imports from high income economies (% of total),Total Merchandise Imports (current US$),Total Merchandise Imports (current US$) - Alternative,Trade in goods and services (current US$)
YR2000,6.06528061041339,-2472788709.99801,16.4762017933808,7.28179748336201,8165875911.27849,9060862651.56033,2.37527192847551,67.7427738243997,17.2388102820024,0.668806872826536,1.53100475812183,0.739162139139737,14.1660055239442,0.929479533962698,6.1199884679938,64.7267308900026,8883000000.0,7474709820.0,-2458878888.10142
YR2001,6.44575506994615,-2874981467.75389,17.3900891315011,4.83111832766778,9215079005.25739,10102557449.9629,2.41562491895759,68.9110867287064,17.6609388411068,0.581699639066683,1.11602385657707,0.590466203988144,16.8860359259367,0.788222680396205,5.55650558336777,62.3766128529283,9018000000.0,7693423890.0,-2817985657.31352
YR2002,5.64804343279805,-2269650008.70625,14.6012765701751,6.78923563149681,8768385060.35743,9060891520.11144,1.92479898290548,56.7599981519571,20.9939104506997,0.946202215989257,1.07344808099003,0.450361529061175,17.5124104148488,0.406990220154494,5.7547727380937,58.5856890710947,8592000000.0,6972653296.0,-2234843547.53365
YR2003,7.46485520934452,-2884974093.26425,19.1883894625947,11.0987893062241,9518042380.41675,9761830742.65976,1.92737016029291,60.317204445499,20.4075331403459,1.8714785700874,1.40618872513327,0.376450466512733,18.6891556068454,0.751362261421494,6.85622071289537,56.4978312296538,10434000000.0,8623932466.0,-3141653816.41339
YR2004,8.46970712228047,-2972345846.78104,15.6096305442988,8.29717956189146,17584534494.4188,10229675556.3105,2.08477068964326,65.5213424328879,22.2493162603307,1.81262567762613,1.82294387656281,0.316528487210814,17.9704073806913,0.743145278633269,10.108348493391,55.0850330389449,12036000000.0,10469230208.0,-3854880482.14049
YR2005,7.34670876932395,-3898472861.97333,13.8972198613441,10.2104592142642,24277698362.6253,13898043877.3656,2.94056839989021,65.6015221996257,22.656037995919,2.57609892058729,1.54408956736864,0.38099536711354,16.8733502993802,0.424395347933294,14.9389465955131,55.545032501698,13889000000.0,12575480212.0,-4156759716.05123
YR2006,7.0104951220935,-3880557603.06654,16.6996245220718,12.7500359072175,28693920636.0907,15621647159.4109,3.1644501304716,60.3752050016738,23.3359688641801,3.09986636041791,1.32760818277718,0.653386661938276,15.3197824648383,0.404172149516755,14.4725731285863,55.8592153163315,16034000000.0,14791096089.0,-3896303860.1296
YR2007,7.83069523636506,-4738256591.77323,22.4621296974454,10.4864954081135,33280940870.7871,18268522231.9984,3.3587091644902,54.3044951529368,23.4422797620986,2.76672693274765,2.1976875802674,0.544556396228803,16.8732489216548,0.599671517082158,13.7746977455441,53.5758288899206,18596000000.0,17113178478.0,-5462928581.36725
YR2008,7.35179947219679,-6692430505.57389,18.3229853149513,7.41205503993909,32648192800.3489,22874478188.5382,3.00214265497531,63.5254982261883,24.1204604134884,2.86107727379539,1.57969508722893,0.9672796122741,17.5608491581796,0.535687683125363,14.6416075031624,52.3749507719081,23860000000.0,22297319644.0,-7672641808.74828
YR2009,6.48020320667721,-6366300367.15218,18.6780564304749,12.2352971759758,31799452432.3593,23725728359.9447,2.34767425079487,60.0774086196632,28.6295533893095,4.63028253122805,2.63100815762919,0.930540495929075,15.1806132030646,0.523669742652935,6.75556355338465,47.4743324801866,21833000000.0,20492005220.0,-6025299151.95923
YR2010,8.11112077116772,-6633666169.82309,17.4240481119914,8.29586577808838,32017741357.5566,25105548606.6769,1.99784694308339,64.170092721373,30.4435982716337,4.18362829292884,2.62533453700915,0.913310755750842,16.900279417356,0.726039082652842,9.20644094092719,44.2078096426686,27821000000.0,25891491862.0,-7816344792.83922
YR2011,7.30561438439996,-9744203015.37006,19.4937925236267,7.58430549219529,41351862193.7416,35365482039.6129,1.94424686390031,63.6705608461265,33.2195466674598,3.01435726257451,3.53650524910474,2.32695244575352,16.7234185877231,0.713607204847139,11.1022116250255,40.4656125825372,36214000000.0,33794072476.0,-10888026891.2585
YR2012,7.5898588243114,-10381901108.8438,14.4704238243695,8.84373444837354,45701482286.5825,37259465952.266,2.1539003634854,64.060096485815,31.6857605674113,3.1324522700363,4.69659716887118,1.80881709889602,16.6657848751843,0.775283968499513,11.3253084650587,41.2353040511014,34173000000.0,31793003856.0,-10157899098.9677
YR2013,7.78124819469518,-10830906474.5112,16.8657778641165,8.05278075015461,46258195599.4075,40137513944.1348,2.21304183453315,65.0837691340119,32.7422997796562,4.09665528216582,4.20184967812108,1.49822239276549,16.8741564530415,1.00646944565137,9.73455490902989,39.5803469685985,37085000000.0,34608666811.0,-9933198074.62347
YR2014,,-11297725501.216,,,46798641138.9714,44128305231.1645,,,32.8137257595778,3.31104757627396,4.2712269676574,0.928707805401443,17.7018446704355,1.22284647577346,9.84001136660625,39.7506007448804,41119000000.0,38252114167.0,-12119389611.999
YR2015,6.41256931026831,-14465532639.7464,16.561579168916,10.8615857469889,48297463643.7965,48297463643.7965,2.68270211560005,63.4804306877422,34.2032737961835,3.49004537580605,3.71551924955602,0.965738744692808,17.0363865750579,1.48951883681997,7.24862860171446,39.0995174218838,42047000000.0,36101387556.0,-10606498175.2762
YR2016,5.86643136722568,-9260953611.32638,15.2417870221937,10.5391560814814,44872263246.7544,46183400773.3724,3.09919831568451,65.252558547916,34.8558214128331,3.44276246750405,4.14720168637998,0.906660997775734,16.1411646673373,1.61288553695797,6.20342817468727,38.8935032312119,44772000000.0,37987301080.0,-10505302542.1777
YR2017,6.69003528747864,-12807430499.2488,18.9346180073446,10.4207487146544,47189556671.898,50463186692.0898,3.67703500830579,60.2531091786662,33.2700893084063,2.77245141724497,5.02860242063973,0.527515359445114,17.7513811306045,2.29862386313213,6.03736082936381,38.3513365005273,52836000000.0,44248899453.0,-17594487835.4603
YR2018,6.03484299147945,-23025820646.6643,13.0022763018655,10.1215316760637,58484366550.2845,63757868050.7515,3.79181935483022,67.0490057753522,35.8803637433437,1.95101527950808,3.6484148251279,0.538271445834576,18.2484208500019,2.92137998320315,7.36693226913497,36.8112756066929,60495000000.0,51428560839.0,-21457169885.0705
YR2019,,-18926257570.9868,,,58779996314.8178,64919190426.113,,,36.0015805739046,2.02825834744472,4.09377338870366,0.838232967367791,14.9223550418579,2.90661237383677,9.80817221923446,39.1965399402316,59094000000.0,51303304301.0,-19272605860.584
YR2020,,-20142051278.3432,,,52073456218.9652,59195931838.1946,,,35.2379096145837,2.23922145221123,5.23073605189549,0.901923098941599,16.1497693922047,3.08781642192995,7.9310382264002,37.1476178868783,52804000000.0,43053874821.0,-18300384906.6326
YR2021,,-26634920363.1482,,,60022959705.004,71021045805.0068,,,37.1176360148608,1.54297713784969,4.80165935054913,1.19465033461108,18.2071363223105,2.61542271517777,8.04985752333436,34.5193505617975,80448000000.0,64639175885.0,-36008206263.1851
YR2022,,-36881921800.9904,,,78739971067.3165,96157127887.3964,,,37.1765617000227,0.973262926397095,4.55136474005147,2.53281383727112,17.3217745449468,3.60339316502735,11.360363852477,33.7651607035299,88234000000.0,79915840407.0,-36662353267.6817
YR2023,,-20421363572.4637,,,71044199703.4452,77972815573.2438,,,39.9328612743048,1.55040411635694,4.86282929526692,1.36074829173992,15.4103768633673,2.87447615364177,9.88010941057253,34.0079629592279,66863000000.0,61311067158.0,-25709127628.1774
YR2024,,-26357644239.5008,,,67776851244.9799,73445483483.8237,,,,,,,,,,,67880000000.0,,-25745430607.2451
